June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,,Soup & Steam Kettles,,,57084,,
,,,,,Steam Generators,,,258596,New Category,
,,,,,Tilt Skillets/Braising Pans,,,258597,New Category,
,,,,-,Commercial Cooking Equipment Parts & Accessories,,,258598,New Category,
,,,,,,Deep Fryer Parts & Accessories,,258599,New Category,
,,,,,,Grill & Broiler Parts & Accessories,,258600,New Category,
,,,,,,Outdoor Barbecue & Smoker Parts & Accessories,,258601,New Category,
,,,,,,Oven Parts & Accessories,,258602,New Category,
,,,,,,Pasta Cooker Parts & Accessories,,258603,New Category,
,,,,,,Range Parts & Accessories,,258604,New Category,
,,,,,,Rice Cooker Parts & Accessories,,258605,New Category,
,,,,,,Steam Equipment Parts & Accessories,,258606,New Category,
,,,,,,Toaster Parts & Accessories,,258607,New Category,
,,,,,,Waffle Iron & Crepe Machine Parts & Accessories,,258608,New Category,
,,,,,,Other Cooking Equipment Parts & Accessories,,258609,New Category,
,,,,,Other Commercial Cooking Equipment,,,258841,New Category,
,,,-,Food Holding & Warming Equipment,,,,258610,New Category,
,,,,,Countertop Food Warmers,,,258611,New Category,
,,,,,Drawer Warmers,,,258612,New Category,
,,,,,Dry/Heated Display Cases,,,258613,New Category,
,,,,,Food Wells,,,258614,New Category,
,,,,,Heat Lamps & Strip Warmers,,,258615,New Category,
,,,,,Food Warmer Parts & Accessories,,,258616,New Category,
,,,,,Other Commercial Warming Equipment,,,259014,New Category,
,,,-,Food Preparation Equipment,,,,95078,,
,,,,,Commercial Bread & Bagel Slicers,,,258617,New Category,
,,,,,Commercial Can Openers & Can Crushers,,,57099,Renamed from [Can Openers],
,,,,,Electric Slicers,,,257914,All listings are being moved into [Meat Cutters & Slicers - 258620].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Mixers,,,25373,All listings are being moved into [Commercial Mixers - 258623].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Prep Tables,,,111517,All listings are being moved into [Other Commercial Prep Tables - 259006].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Stick Blenders,,,53222,All listings are being moved into [Commercial Immersion Blenders - 259015].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Commercial Food Processors,,,36346,Renamed from [Food Processors],
,,,,,Commercial Food Scales,,,25383,Renamed from [Scales],
,,,,,"Commercial Fruit Corers, Peelers & Wedgers",,,258618,New Category,
,,,,,Commercial Immersion Blenders,,,259015,New Category,
,,,,-,Commercial Meat Processing Equipment,,,95074,Renamed from [Meat Grinders & Butcher Supply],
,,,,,,Knives,,53215,All listings are being moved into [Commercial Knives & Cutlery - 257913].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,Hamburger & Meatball Makers,,258619,New Category,
,,,,,,Meat & Bone Saws,,95076,Renamed from [Saws],
,,,,,,Meat Choppers & Grinders,,25372,Renamed from [Meat Grinders],
,,,,,,Meat Cutters & Slicers,,258620,New Category,
,,,,,,Meat Mixers & Tumblers,,258621,New Category,
,,,,,,Meat Tenderizers,,57088,,
,,,,,,Sausage Stuffing Machines,,95075,Renamed from [Sausage Stuffers],
,,,,,,Sausage Tying & Knotting Machines,,258622,New Category,
,,,,,,Other Commercial Meat Processing Equipment,,95077,Renamed from [Other Commercial Butcher Equipment],
,,,,,Commercial Mixers,,,258623,New Category,
,,,,,Commercial Oil Press Machines,,,258624,New Category,
,,,,,Commercial Pasta & Noodle Makers,,,258625,New Category,
,,,,,Commercial Vegetable Choppers & Slicers,,,67164,Renamed from [Choppers & Cutters],
,,,,-,Prep Tables,,,258844,New Category,
,,,,,,Equipment Stands & Filler Tables,,258626,New Category,
,,,,,,Refrigerated Prep Tables,,258845,New Category,
,,,,,,Work Tables,,259005,New Category,
,,,,,,Other Commercial Prep Tables,,259006,New Category,
,,,,-,Food Preparation Equipment Parts & Accessories,,,258627,New Category,
,,,,,,Bread Slicer Parts & Accessories,,258628,New Category,
,,,,,,Can Opener Parts & Accessories,,258629,New Category,
,,,,,,Food Processor Parts & Accessories,,258630,New Category,
,,,,,,Meat Processing Equipment Parts & Accessories,,258631,New Category,
,,,,,,Mixer Parts & Accessories,,53221,Moved from [Food Preparation Equipment-95078] Renamed from [Mixer Accessories],
,,,,,Other Commercial Food Prep,,,95083,,
,,,,"Hood Systems, Fire Suppression",,,,57082,All listings are being moved into [Commercial Hoods - 258634].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Hood Systems,,,,258632,New Category,
,,,,,Commercial Exhaust Fans,,,258633,New Category,
,,,,,Commercial Hoods,,,258634,New Category,
,,,,,Commercial Hood System Parts & Accessories,,,258635,New Category,
,,,-,Storage & Handling Equipment,,,,57100,,
,,,,,Commercial Food Storage Containers & Lids,,,57102,Renamed from [Food Storage Containers],
,,,,,Heating & Holding Cabinets,,,67148,All listings are being moved into [Dry/Heated Display Cases - 258613].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Ingredient Bins,,,258636,New Category,
,,,,,Insulated Food Delivery Bags,,,95079,Renamed from [Pizza Delivery Bags],
,,,,,Shelving & Racks,,,71419,All listings are being moved into [Other Storage & Handling Equipment - 57104].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,-,Shelving & Racks,,,258637,New Category,
,,,,,,Can Racks,,258639,New Category,
,,,,,,"Dish, Glass & Flatware Racks",,258640,New Category,
,,,,,,Dunnage Racks,,258641,New Category,
,,,,,,Keg Racks,,258638,New Category,
,,,,,,Pot Racks,,258642,New Category,
,,,,,,Shelving Units,,258643,New Category,
,,,,,,Shelving Parts & Accessories,,258644,New Category,
,,,,,Other Storage & Handling Equipment,,,57104,,
,,,,Vintage Equipment,,,,167899,The Category ID is being changed to [258830].,Please update your category ID accordingly.
,,,,Other Commercial Kitchen Equipment,,,,92301,Renamed from [Other Comm Kitchen Equipment],
,,-,"Food Trucks, Trailers & Carts",,,,,67145,,
,,,,"Carts, Stands & Kiosks",,,,67146,"All listings are being moved into [Vending Carts, Stands & Kiosks - 258645].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Food Trucks & Concession Trailers,,,,184249,,
,,,,Food Truck Parts & Accessories,,,,183952,,
,,,,"Vending Carts, Stands & Kiosks",,,,258645,New Category,
,,-,"Furniture, Signs & Décor",,,,,57093,,
,,,,Chairs & Seating,,,,67172,All listings are being moved into [Other Restaurant Décor - 57096].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Air Curtains,,,,258646,New Category,
,,,-,Restaurant Chairs & Seating,,,,258647,New Category,
,,,,,Auditorium & Church Chairs,,,258648,New Category,
,,,,,Banquet Chairs,,,258649,New Category,
,,,,,Restaurant Bar Stools,,,258650,New Category,
,,,,,Restaurant Booster Seats & High Chairs,,,258651,New Category,
,,,,,Restaurant Booths,,,258652,New Category,
,,,,,Restaurant Dining Chairs,,,258653,New Category,
,,,,,Restaurant Folding Chairs,,,258654,New Category,
,,,,,Restaurant Table Sets,,,258655,New Category,
,,,,Restaurant Décor,,,,57098,Renamed from [Decorations & Décor],
,,,,Display Cases,,,,109371,All listings are being moved into [Dry/Heated Display Cases - 258613].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Restaurant Doors,,,,258656,New Category,
,,,,Restaurant Menu Boards,,,,166673,Renamed from [Menu Boards],
,,,,Restaurant Sign Holders,,,,166674,Renamed from [Sign Holders],
,,,,Signs,,,,25380,All listings are being moved into [Restaurant Signs - 259011].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Restaurant Signs,,,,259011,New Category,
,,,,Restaurant Tables,,,,11883,Renamed from [Tables],
,,,,Vintage Signs & Décor,,,,167900,All listings are being moved into [Restaurant Décor - 57098].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Restaurant Furniture Parts & Accessories,,,,258657,New Category,
,,,,Other Restaurant Décor,,,,57096,,
,,-,Refrigeration Equipment,,,,,25375,Renamed from [Refrigeration & Ice Machines],
,,,,Coolers & Refrigerators,,,,53225,All listings are being moved into [Other Restaurant Refrigeration - 53226].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Freezers,,,,53229,All listings are being moved into [Other Restaurant Refrigeration - 53226].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,Commercial Freezers & Refrigerators,,,,258658,New Category,
,,,,,Air Curtain Merchandisers,,,258659,New Category,
,,,,,Blast Chillers,,,258660,New Category,
,,,,,Merchandising Glass Door Refrigerators & Freezers,,,258661,New Category,
,,,,,Reach-In Refrigerators & Freezers,,,258662,New Category,
,,,,,Refrigerated Display Cases,,,258663,New Category,
,,,,,Undercounter Refrigerators & Freezers,,,258664,New Category,
,,,,,Walk-In Refrigerators & Freezers,,,258665,New Category,
,,,,Commercial Ice Machines,,,,67171,Renamed from [Ice Machines],
,,,-,Ice Cream Equipment,,,,258666,New Category,
,,,,,Commercial Ice Cream Freezers,,,258667,New Category,
,,,,,Ice Cream Dipping Cabinets,,,258668,New Category,
,,,,,Rolled Ice Cream Machines,,,258669,New Category,
,,,,,Soft Serve Ice Cream Machines,,,67167,Moved from [Refrigeration & Ice Machines-25375] Renamed from [Ice Cream Machines],
,,,,Ice Storage Bins,,,,258670,New Category,
,,,-,Refrigeration Equipment Parts & Accessories,,,,258671,New Category,
,,,,,Ice Cream Equipment Parts & Accessories,,,258674,New Category,
,,,,,Ice Machine Parts & Accessories,,,258672,New Category,
,,,,,Refrigerator & Freezer Parts & Accessories,,,258673,New Category,
,,,,Other Restaurant Refrigeration,,,,53226,,
,,-,Tabletop & Serving,,,,,25381,,
,,,-,Restaurant Disposables,,,,258676,New Category,
,,,,,"Cake Circles, Cake Pads & Cake Boards",,,258677,New Category,
,,,,,Disposable Bags,,,258678,New Category,
,,,,,Disposable Bibs,,,258679,New Category,
,,,,,Disposable Bowls,,,258680,New Category,
,,,,,"Disposable Boxes, Containers & Trays",,,258681,New Category,
,,,,,"Disposable Cups, Lids & Sleeves",,,258682,New Category,
,,,,,Disposable Flatware,,,258683,New Category,
,,,,,Disposable Napkins,,,258684,New Category,
,,,,,Disposable Pans,,,258685,New Category,
,,,,,Disposable Plates,,,258686,New Category,
,,,,,Doilies & Paper Placemats,,,258687,New Category,
,,,,,Food Packaging Wraps & Liners,,,258688,New Category,
,,,,,Paper Napkin Bands,,,258689,New Category,
,,,,,Straws & Stirrers,,,258690,New Category,
,,,,,Other Restaurant Disposables,,,258842,New Category,
,,,-,"Serving, Buffet & Catering",,,,55835,,
,,,,,Buffet Tables & Salad Bars,,,55836,,
,,,,,Carts,,,159704,All listings are being moved into [Other Buffet Equipment - 25356].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Chafers & Accessories,,,55837,All listings are being moved into [Chafing Dishes - 258698].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Insulated Food Containers,,,55838,All listings are being moved into [Insulated Food & Beverage Carriers - 258701].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,-,Carts,,,258691,New Category,
,,,,,,Banquet Cabinets & Carts,,258692,New Category,
,,,,,,"Chair Carts, Trucks & Dollies",,258693,New Category,
,,,,,,Dish & Tray Dollies,,258695,New Category,
,,,,,,Dish Rack & Glass Rack Dollies,,258694,New Category,
,,,,,,Table Trucks & Dollies,,258696,New Category,
,,,,,,Utility Carts,,258697,New Category,
,,,,,Chafing Dishes,,,258698,New Category,
,,,,,Chafer Parts & Accessories,,,258699,New Category,
,,,,,Dish & Tray Dispensers,,,258700,New Category,
,,,,,Insulated Food & Beverage Carriers,,,258701,New Category,
,,,,,Steam Table Pans,,,258702,New Category,
,,,,,Steam Table Pan Accessories,,,258703,New Category,
,,,,,Other Buffet Equipment,,,25356,,
,,,-,Tabletop,,,,25385,,
,,,,,Dinnerware,,,11887,All listings are being moved into [Bowls & Dishes - 258705].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Disposables,,,25382,All listings are being moved into [Other Restaurant Disposables - 258842].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Flatware,,,11879,All listings are being moved into [Spoons - 258713].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Glassware,,,11884,All listings are being moved into [Drinking Glasses - 258717].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Linens,,,25386,All listings are being moved into [Table Covers - 258722].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
